,price,amount
0,54750.15,7143191.237
1,54180.0,5856677.4
2,54315.0,5049363.800000001
3,55800.0,4984366.0
4,55350.0,3722902.5
5,55557.0,3698985.0599999996
6,55512.0,3698764.56
7,55176.21,3601167.3060000003
8,54180.0,3582201.0
9,55008.0,3580654.08
10,54270.0,3544976.7
11,55422.0,3478900.52
12,55236.24,3195416.4839999997
13,55350.0,3085270.5
14,55350.0,3071740.5
15,55260.0,2772578.4
16,55260.0,2695091.6
17,55260.0,2620490.6
18,55260.0,2511812.6
19,54900.0,2509906.0
20,54180.0,2497276.5999999996
21,54864.0,2468819.04
22,55383.3,2396250.78
23,55350.0,2293027.5
24,54864.0,2266309.92
25,55379.34,2234064.1082
26,55535.310000000005,2129840.8444
27,55530.0,2100021.2
28,55486.44,2097880.6448
29,55326.78,2035779.6072
30,55277.64,2033787.2148
31,55593.0,2018520.0599999998
32,55858.32000000001,1976825.9448
33,55454.4,1940965.6160000002
34,55584.0,1908939.8399999999
35,55557.0,1908444.68
36,55178.19,1894512.4991
37,55350.0,1892232.0
38,55350.0,1874827.5
39,55372.32000000001,1845928.5744
40,54663.75,1826558.8375000001
41,55260.0,1804975.7999999998
42,55324.8,1776725.216
